procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 8899888 1875408 8891380    0    0   217   244  135   47 16  7 77  0  0
 1  0      0 8879280 1875408 8891380    0    0     0     4 7880 14015 24  8 68  0  0
 1  0      0 8869924 1875408 8891380    0    0     0     4 7791 14167 28  6 66  0  0
 0  0      0 8953880 1875408 8891380    0    0     0    40 9143 17289 32  8 60  0  0
 0  0      0 8980080 1875408 8891388    0    0     8    32 8813 15273 25  7 67  0  0
 0  0      0 8970164 1875408 8891388    0    0     0    32 5742 9886 25  5 70  0  0
 0  0      0 8961196 1875408 8891384    0    0    12    68 8162 14185 25  7 68  0  0
 1  0      0 8951840 1875408 8891392    0    0     0   280 7959 13860 25  7 68  0  0
 0  0      0 8951336 1875408 8891392    0    0     0    36 6185 10415 36  6 58  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  0      0 8832248 1875408 8891616    0    0   217   244  136   49 16  7 77  0  0
 9  0      0 8819144 1875408 8891616    0    0     0    44 6527 11393 26  5 69  0  0
 6  0      0 8834996 1875408 8891616    0    0     0    52 7075 12274 23  9 67  0  0
 6  0      0 8792720 1875408 8891708    0    0    16   624 7152 12152 26  9 65  0  0
10  0      0 8814208 1875408 8891708    0    0     0  2108 8870 16013 23  9 65  3  0
13  0      0 8800024 1875408 8891844    0    0     0  1636 9940 18719 42 24 33  1  0
 1  0      0 8796872 1875408 8891908    0    0    72   300 9815 17632 37 11 52  0  0
 1  0      0 8786856 1875408 8891908    0    0     0    96 6814 11850 18  5 76  0  0
 2  0      0 8776648 1875408 8891908    0    0     0    12 6851 11471 20  9 72  0  0
10  0      0 9182328 1875408 8730516    0    0     0  2636 7563 13389 56 22 22  1  0
 6  0      0 9182228 1875408 8730172    0    0     0     4 7716 12559 52  8 40  0  0
10  0      0 9181448 1875408 8730176    0    0     0  1188 5868 9358 50 11 39  0  0
 3  0      0 9194200 1875408 8730176    0    0     0     4 6753 10721 61 20 19  0  0
 1  0      0 9201944 1875408 8730176    0    0    16   116 6589 10708 44  5 51  0  0
 1  0      0 9195264 1875408 8730184    0    0     0   160 6585 10855 25  7 68  0  0
 2  0      0 9184364 1875408 8730184    0    0     0     4 6678 11216 31  3 65  0  0
 3  0      0 9184300 1875408 8730184    0    0     0     4 6982 12001 26  5 69  0  0
 1  0      0 9181096 1875408 8730184    0    0     0     4 5548 9203 26  4 70  0  0
 1  0      0 9189844 1875408 8730188    0    0     0    12 7272 12701 26  4 70  0  0
 1  0      0 9189120 1875408 8730188    0    0     0    48 7656 13026 27  5 67  0  0
 1  0      0 9167948 1875408 8730188    0    0    12    88 6868 11481 25  6 68  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0      0 9167672 1875408 8730188    0    0     0    12 6854 11622 26  7 68  0  0
 1  0      0 9167396 1875408 8730192    0    0     0     4 6861 11793 23  5 72  0  0
 3  0      0 9166324 1875408 8730192    0    0    16   296 7171 11679 25  6 69  0  0

 /*
 Remark: Look at the file ex1.txt. My vm has no swap memory, obviously, there is no change with si and so columns.
 */

